timestamp,time_seq,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,frequency,power_total,power_a,power_b,power_c
2025-07-17T15:30:07.463685,5,-0.0,269.5,-269.6,-2.49,4.95,-2.55,50.0,2022,0.0,1334.025,687.48
2025-07-17T15:30:07.463981,6,-0.0,269.5,-269.5,-2.46,4.97,-2.5,50.0,2014,0.0,1339.415,673.75
2025-07-17T15:30:07.464144,7,0.0,269.5,-269.6,-2.52,4.97,-2.51,50.0,2017,-0.0,1339.415,676.696
2025-07-17T15:30:07.464287,8,-0.0,269.5,-269.6,-2.52,5.02,-2.51,50.0,2030,0.0,1352.8899999999999,676.696
2025-07-17T15:30:07.464451,9,-0.0,269.6,-269.6,-2.5,5.01,-2.5,50.0,2025,0.0,1350.6960000000001,674.0
2025-07-17T15:30:07.612991,9,-0.0,269.6,-269.6,-2.51,4.98,-2.46,50.0,2005,0.0,1342.6080000000002,663.216
2025-07-17T15:30:07.613419,10,-0.0,269.6,-269.6,-2.55,5.04,-2.46,50.0,2022,0.0,1358.784,663.216
2025-07-17T15:30:07.613663,11,-0.0,269.6,-269.6,-2.47,4.99,-2.47,50.0,2011,0.0,1345.304,665.9120000000001
2025-07-17T15:30:07.613844,12,-0.0,269.6,-269.6,-2.48,4.95,-2.53,50.0,2019,0.0,1334.5200000000002,682.088
2025-07-17T15:30:08.295867,10,-0.0,269.6,-269.6,-2.51,4.98,-2.46,50.0,2005,0.0,1342.6080000000002,663.216
2025-07-17T15:30:08.296065,11,-0.0,269.6,-269.6,-2.55,5.04,-2.46,50.0,2022,0.0,1358.784,663.216
2025-07-17T15:30:08.296141,12,-0.0,269.6,-269.6,-2.47,4.99,-2.47,50.0,2011,0.0,1345.304,665.9120000000001
2025-07-17T15:30:08.296198,13,-0.0,269.6,-269.6,-2.48,4.95,-2.53,50.0,2019,0.0,1334.5200000000002,682.088
2025-07-17T15:30:08.296257,14,-0.0,269.7,-269.7,-2.49,5.04,-2.55,50.0,2046,0.0,1359.288,687.7349999999999
2025-07-17T15:30:08.581364,14,0.0,269.7,-269.7,-2.47,5.05,-2.46,50.0,2026,-0.0,1361.985,663.462
2025-07-17T15:30:08.581575,15,-0.0,269.7,-269.7,-2.52,5.0,-2.51,50.0,2025,0.0,1348.5,676.9469999999999
2025-07-17T15:30:08.581648,16,-0.0,269.7,-269.7,-2.53,5.05,-2.51,50.0,2040,0.0,1361.985,676.9469999999999
2025-07-17T15:30:08.581705,17,-0.0,269.7,-269.7,-2.48,4.99,-2.49,50.0,2017,0.0,1345.803,671.553
2025-07-17T15:30:09.421052,15,0.0,269.7,-269.7,-2.47,5.05,-2.46,50.0,2026,-0.0,1361.985,663.462
2025-07-17T15:30:09.421233,16,-0.0,269.7,-269.7,-2.52,5.0,-2.51,50.0,2025,0.0,1348.5,676.9469999999999
2025-07-17T15:30:09.421321,17,-0.0,269.7,-269.7,-2.53,5.05,-2.51,50.0,2040,0.0,1361.985,676.9469999999999
2025-07-17T15:30:09.421365,18,-0.0,269.7,-269.7,-2.48,4.99,-2.49,50.0,2017,0.0,1345.803,671.553
2025-07-17T15:30:09.421401,19,0.0,269.7,-269.7,-2.5,4.98,-2.47,50.0,2009,-0.0,1343.106,666.159
2025-07-17T15:30:09.795932,19,0.0,269.7,-269.7,-2.51,5.0,-2.5,50.0,2022,-0.0,1348.5,674.25
2025-07-17T15:30:09.796364,20,0.0,269.7,-269.7,-2.45,5.01,-2.47,50.0,2018,-0.0,1351.197,666.159
2025-07-17T15:30:09.796633,21,0.0,269.7,-269.7,-2.52,5.05,-2.48,50.0,2030,-0.0,1361.985,668.856
2025-07-17T15:30:09.796826,22,0.0,269.7,-269.7,-2.54,4.96,-2.54,50.0,2022,-0.0,1337.712,685.038
2025-07-17T15:30:10.346353,20,0.0,269.7,-269.7,-2.51,5.0,-2.5,50.0,2022,-0.0,1348.5,674.25
2025-07-17T15:30:10.346498,21,0.0,269.7,-269.7,-2.45,5.01,-2.47,50.0,2018,-0.0,1351.197,666.159
2025-07-17T15:30:10.346547,22,0.0,269.7,-269.7,-2.52,5.05,-2.48,50.0,2030,-0.0,1361.985,668.856
2025-07-17T15:30:10.346606,23,0.0,269.7,-269.7,-2.54,4.96,-2.54,50.0,2022,-0.0,1337.712,685.038
2025-07-17T15:30:10.346642,24,0.0,269.8,-269.8,-2.49,4.96,-2.53,50.0,2022,-0.0,1338.208,682.5939999999999
2025-07-17T15:30:10.521037,24,-0.0,269.7,-269.7,-2.45,5.05,-2.46,50.0,2024,0.0,1361.985,663.462
2025-07-17T15:30:10.521235,25,0.0,269.8,-269.8,-2.46,5.04,-2.55,50.0,2046,-0.0,1359.7920000000001,687.99
2025-07-17T15:30:10.521335,26,0.0,269.8,-269.8,-2.47,5.03,-2.54,50.0,2040,-0.0,1357.094,685.292
2025-07-17T15:30:10.521392,27,0.0,269.8,-269.8,-2.5,5.05,-2.53,50.0,2043,-0.0,1362.49,682.5939999999999
2025-07-17T15:30:10.992914,25,-0.0,269.7,-269.7,-2.45,5.05,-2.46,50.0,2024,0.0,1361.985,663.462
2025-07-17T15:30:10.993083,26,0.0,269.8,-269.8,-2.46,5.04,-2.55,50.0,2046,-0.0,1359.7920000000001,687.99
