timestamp,time_seq,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,frequency,power_total,power_a,power_b,power_c
2025-07-18T10:47:42.829496,1,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:44.038642,2,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:44.569426,3,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:45.416384,4,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:45.958447,5,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:46.731278,6,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:46.781632,6,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:47.351555,7,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:48.133350,8,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:48.666574,9,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:49.383416,10,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:49.527127,10,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:49.936236,11,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:50.804434,12,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:47:51.216565,13,120.5,219.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,1081.416,1057.336
2025-07-18T10:48:19.906503,14,120.5,200.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,987.936,1057.336
2025-07-18T10:48:19.971427,15,120.5,200.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,987.936,1057.336
2025-07-18T10:48:20.061456,16,120.5,200.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,987.936,1057.336
2025-07-18T10:48:20.061846,17,120.5,200.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,987.936,1057.336
2025-07-18T10:48:20.138509,17,120.5,200.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,987.936,1057.336
2025-07-18T10:48:20.229391,17,120.5,200.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,987.936,1057.336
2025-07-18T10:48:20.286350,18,120.5,200.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,987.936,1057.336
2025-07-18T10:48:20.368424,19,120.5,200.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,987.936,1057.336
2025-07-18T10:48:20.368774,20,120.5,200.8,221.2,4.85,4.92,4.78,50.02,3246,584.425,987.936,1057.336
