timestamp,time_seq,voltage,current
2025-07-18T12:22:00.018224,3,160.5,2.0
2025-07-18T12:22:00.105558,3,160.5,2.0
2025-07-18T12:22:01.087047,4,160.5,2.0
2025-07-18T12:22:01.791564,5,160.5,2.0
2025-07-18T12:22:01.902724,5,160.5,2.0
2025-07-18T12:22:02.988469,6,160.5,2.0
2025-07-18T12:22:03.244698,6,160.5,2.0
2025-07-18T12:22:05.639113,7,160.5,2.0
2025-07-18T12:22:06.821639,8,160.5,2.0
2025-07-18T12:22:07.279131,9,160.5,2.0
2025-07-18T12:22:07.893409,10,160.5,2.0
2025-07-18T12:22:07.983056,10,160.5,2.0
2025-07-18T12:22:09.251117,11,160.5,2.0
2025-07-18T12:22:09.878991,12,160.5,2.0
