timestamp,seq_num,voltage,current,power
2025-07-03T18:57:43.906641,10,3.309,0.109,0.36068100000000003
2025-07-03T18:57:43.906817,11,3.297,0.109,0.359373
2025-07-03T18:57:43.906888,12,3.304,0.11,0.36344
2025-07-03T18:57:43.906938,13,3.302,0.108,0.356616
2025-07-03T18:57:43.906977,14,3.303,0.109,0.360027
2025-07-03T18:57:43.907014,15,3.323,0.109,0.362207
2025-07-03T18:57:43.907054,16,3.32,0.11,0.36519999999999997
2025-07-03T18:57:43.907094,17,3.322,0.11,0.36542
2025-07-03T18:57:43.907123,18,3.332,0.111,0.369852
2025-07-03T18:57:43.907148,19,3.319,0.11,0.36508999999999997
2025-07-03T18:57:44.461637,11,3.309,0.109,0.36068100000000003
2025-07-03T18:57:44.461781,12,3.297,0.109,0.359373
2025-07-03T18:57:44.461823,13,3.304,0.11,0.36344
2025-07-03T18:57:44.461857,14,3.302,0.108,0.356616
2025-07-03T18:57:44.461890,15,3.303,0.109,0.360027
2025-07-03T18:57:44.461921,16,3.323,0.109,0.362207
2025-07-03T18:57:44.461954,17,3.32,0.11,0.36519999999999997
2025-07-03T18:57:44.461985,18,3.322,0.11,0.36542
2025-07-03T18:57:44.462047,19,3.332,0.111,0.369852
2025-07-03T18:57:44.462090,20,3.319,0.11,0.36508999999999997
2025-07-03T18:57:44.462133,21,3.321,0.11,0.36531
2025-07-03T18:57:45.386816,21,3.328,0.111,0.369408
2025-07-03T18:57:45.387204,22,3.326,0.11,0.36586
2025-07-03T18:57:45.387446,23,3.344,0.11,0.36784
2025-07-03T18:57:45.387638,24,3.336,0.109,0.363624
2025-07-03T18:57:45.387831,25,3.341,0.109,0.364169
2025-07-03T18:57:45.387898,26,3.336,0.109,0.363624
2025-07-03T18:57:45.388125,27,3.348,0.109,0.364932
2025-07-03T18:57:45.388281,28,3.341,0.108,0.36082800000000004
2025-07-03T18:57:45.388451,29,3.342,0.108,0.360936
2025-07-03T18:57:45.388614,30,3.346,0.108,0.361368
2025-07-03T18:57:45.976520,22,3.328,0.111,0.369408
2025-07-03T18:57:45.976890,23,3.326,0.11,0.36586
2025-07-03T18:57:45.977064,24,3.344,0.11,0.36784
2025-07-03T18:57:45.977239,25,3.336,0.109,0.363624
2025-07-03T18:57:45.977390,26,3.341,0.109,0.364169
2025-07-03T18:57:45.977532,27,3.336,0.109,0.363624
2025-07-03T18:57:45.977679,28,3.348,0.109,0.364932
2025-07-03T18:57:45.977816,29,3.341,0.108,0.36082800000000004
2025-07-03T18:57:45.977969,30,3.342,0.108,0.360936
2025-07-03T18:57:45.978114,31,3.346,0.108,0.361368
2025-07-03T18:57:45.978244,32,3.343,0.107,0.357701
2025-07-03T18:57:46.876580,32,3.34,0.106,0.35403999999999997
2025-07-03T18:57:46.876845,33,3.341,0.106,0.354146
2025-07-03T18:57:46.878850,34,3.346,0.106,0.354676
2025-07-03T18:57:46.879021,35,3.356,0.105,0.35237999999999997
2025-07-03T18:57:46.879162,36,3.347,0.105,0.351435
2025-07-03T18:57:46.879281,37,3.341,0.104,0.347464
2025-07-03T18:57:46.879420,38,3.358,0.104,0.349232
2025-07-03T18:57:46.879598,39,3.343,0.104,0.347672
2025-07-03T18:57:46.879752,40,3.346,0.103,0.344638
2025-07-03T18:57:46.879907,41,3.349,0.103,0.344947
2025-07-03T18:57:47.621768,33,3.34,0.106,0.35403999999999997
2025-07-03T18:57:47.621903,34,3.341,0.106,0.354146
2025-07-03T18:57:47.621953,35,3.346,0.106,0.354676
2025-07-03T18:57:47.621990,36,3.356,0.105,0.35237999999999997
2025-07-03T18:57:47.622018,37,3.347,0.105,0.351435
2025-07-03T18:57:47.622044,38,3.341,0.104,0.347464
2025-07-03T18:57:47.622068,39,3.358,0.104,0.349232
2025-07-03T18:57:47.622092,40,3.343,0.104,0.347672
2025-07-03T18:57:47.622117,41,3.346,0.103,0.344638
2025-07-03T18:57:47.622142,42,3.349,0.103,0.344947
2025-07-03T18:57:47.622166,43,3.348,0.101,0.338148
2025-07-03T18:57:48.529824,43,3.341,0.101,0.33744100000000005
2025-07-03T18:57:48.529960,44,3.347,0.1,0.3347
2025-07-03T18:57:48.530007,45,3.333,0.099,0.329967
2025-07-03T18:57:48.530044,46,3.336,0.099,0.330264
2025-07-03T18:57:48.530077,47,3.338,0.099,0.33046200000000003
2025-07-03T18:57:48.530110,48,3.326,0.097,0.322622
2025-07-03T18:57:48.530142,49,3.333,0.097,0.323301
2025-07-03T18:57:48.530177,50,3.339,0.097,0.32388300000000003
2025-07-03T18:57:48.530214,51,3.32,0.096,0.31872
2025-07-03T18:57:48.530259,52,3.326,0.095,0.31597000000000003
2025-07-03T18:57:48.971711,44,3.341,0.101,0.33744100000000005
2025-07-03T18:57:48.971852,45,3.347,0.1,0.3347
2025-07-03T18:57:48.971897,46,3.333,0.099,0.329967
2025-07-03T18:57:48.971979,47,3.336,0.099,0.330264
2025-07-03T18:57:48.972029,48,3.338,0.099,0.33046200000000003
2025-07-03T18:57:48.972076,49,3.326,0.097,0.322622
2025-07-03T18:57:48.972120,50,3.333,0.097,0.323301
2025-07-03T18:57:48.972162,51,3.339,0.097,0.32388300000000003
2025-07-03T18:57:48.972205,52,3.32,0.096,0.31872
2025-07-03T18:57:48.972248,53,3.326,0.095,0.31597000000000003
2025-07-03T18:57:48.972291,54,3.318,0.094,0.311892
2025-07-03T18:57:49.861991,54,3.322,0.093,0.308946
2025-07-03T18:57:49.862361,55,3.31,0.095,0.31445
2025-07-03T18:57:49.862572,56,3.305,0.094,0.31067
2025-07-03T18:57:49.862740,57,3.312,0.094,0.311328
2025-07-03T18:57:49.862886,58,3.304,0.092,0.30396799999999996
2025-07-03T18:57:49.863039,59,3.3,0.092,0.3036
2025-07-03T18:57:49.863176,60,3.298,0.091,0.300118
2025-07-03T18:57:49.863322,61,3.291,0.092,0.302772
2025-07-03T18:57:49.863480,62,3.3,0.092,0.3036
2025-07-03T18:57:49.863643,63,3.297,0.091,0.300027
2025-07-03T18:57:50.476675,55,3.322,0.093,0.308946
2025-07-03T18:57:50.476815,56,3.31,0.095,0.31445
2025-07-03T18:57:50.476858,57,3.305,0.094,0.31067
2025-07-03T18:57:50.476887,58,3.312,0.094,0.311328
2025-07-03T18:57:50.476913,59,3.304,0.092,0.30396799999999996
2025-07-03T18:57:50.476939,60,3.3,0.092,0.3036
2025-07-03T18:57:50.476963,61,3.298,0.091,0.300118
2025-07-03T18:57:50.476987,62,3.291,0.092,0.302772
2025-07-03T18:57:50.477011,63,3.3,0.092,0.3036
2025-07-03T18:57:50.477035,64,3.297,0.091,0.300027
2025-07-03T18:57:50.477059,65,3.292,0.091,0.29957199999999995
2025-07-03T18:57:51.371697,65,3.292,0.091,0.29957199999999995
2025-07-03T18:57:51.371837,66,3.287,0.09,0.29583
2025-07-03T18:57:51.371893,67,3.275,0.09,0.29474999999999996
2025-07-03T18:57:51.371924,68,3.276,0.091,0.298116
2025-07-03T18:57:51.371950,69,3.28,0.091,0.29847999999999997
2025-07-03T18:57:51.371976,70,3.271,0.09,0.29439
2025-07-03T18:57:51.372008,71,3.267,0.09,0.29402999999999996
2025-07-03T18:57:51.372043,72,3.275,0.09,0.29474999999999996
2025-07-03T18:57:51.372069,73,3.256,0.09,0.29303999999999997
2025-07-03T18:57:51.372093,74,3.259,0.09,0.29330999999999996
2025-07-03T18:57:51.816761,66,3.292,0.091,0.29957199999999995
2025-07-03T18:57:51.816898,67,3.287,0.09,0.29583
2025-07-03T18:57:51.816942,68,3.275,0.09,0.29474999999999996
2025-07-03T18:57:51.816972,69,3.276,0.091,0.298116
2025-07-03T18:57:51.816999,70,3.28,0.091,0.29847999999999997
2025-07-03T18:57:51.817025,71,3.271,0.09,0.29439
2025-07-03T18:57:51.817049,72,3.267,0.09,0.29402999999999996
2025-07-03T18:57:51.817074,73,3.275,0.09,0.29474999999999996
2025-07-03T18:57:51.817098,74,3.256,0.09,0.29303999999999997
2025-07-03T18:57:51.817123,75,3.259,0.09,0.29330999999999996
2025-07-03T18:57:51.817168,76,3.267,0.091,0.297297
2025-07-03T18:57:52.764815,76,3.267,0.091,0.297297
2025-07-03T18:57:52.765012,77,3.253,0.091,0.296023
2025-07-03T18:57:52.765099,78,3.254,0.092,0.299368
2025-07-03T18:57:52.765203,79,3.244,0.092,0.298448
2025-07-03T18:57:52.765278,80,3.246,0.092,0.298632
2025-07-03T18:57:52.765339,81,3.252,0.093,0.302436
2025-07-03T18:57:52.765401,82,3.249,0.093,0.302157
2025-07-03T18:57:52.765462,83,3.247,0.093,0.301971
2025-07-03T18:57:52.765522,84,3.259,0.094,0.306346
