timestamp,time_seq,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c
2025-07-18T11:53:59.637022,1,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:01.096754,2,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:01.663629,3,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:02.116497,4,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:02.589554,5,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:02.886373,6,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:02.968911,6,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:03.144898,7,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:03.406713,8,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:03.491746,8,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:03.550090,9,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:03.636712,9,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:03.850088,10,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:04.231666,12,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:04.231845,13,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:04.436620,13,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:04.521846,13,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:04.676679,14,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:04.842034,15,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:05.031882,16,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:05.204582,17,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:05.569059,18,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:05.711867,19,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:05.798515,20,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:05.881381,20,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:05.956415,21,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:06.034574,21,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:06.216685,22,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:06.284881,23,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:06.285014,24,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:06.886656,24,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:54:07.198555,25,160.5,250.8,180.2,4.85,4.92,4.78
