timestamp,time_seq,voltage,current,power,temperature,frequency
2025-01-01 16:19:21,1,3.29,0.099,0.326,24.9,50.0
2025-01-01 16:19:39,1,3.31,0.102,0.338,25.1,50.0
2025-01-01 16:19:46,1,3.3,0.099,0.326,25.0,50.0
2025-01-01 16:19:54,1,3.3,0.1,0.33,25.2,50.0
2025-01-01 16:20:02,1,3.3,0.099,0.328,25.2,50.0
2025-01-01 16:20:11,1,3.31,0.099,0.327,25.0,50.0
2025-01-01 16:20:20,1,3.31,0.099,0.328,25.1,50.0
2025-01-01 16:20:29,1,3.31,0.101,0.333,24.8,50.0
2025-01-01 16:20:37,1,3.3,0.098,0.324,24.9,50.0
2025-01-01 16:20:45,1,3.3,0.1,0.329,24.8,50.0
2025-01-01 16:20:59,1,3.31,0.102,0.336,25.1,50.0
2025-01-01 16:21:09,1,3.31,0.101,0.335,25.1,50.0
2025-01-01 16:21:17,1,3.3,0.098,0.324,25.0,50.0
2025-01-01 16:21:25,1,3.31,0.101,0.335,25.1,50.0
2025-01-01 16:21:32,1,3.3,0.101,0.332,25.2,50.0
2025-01-01 16:21:53,1,3.3,0.1,0.33,24.9,50.0
2025-01-01 16:22:01,1,3.3,0.102,0.336,25.0,50.0
2025-01-01 16:22:14,1,3.31,0.099,0.328,24.8,50.0
2025-01-01 16:22:23,1,3.3,0.1,0.33,24.8,50.0
2025-01-01 16:22:31,1,3.3,0.1,0.33,25.0,50.0
2025-01-01 16:22:39,1,3.3,0.1,0.331,25.0,50.0
2025-01-01 16:22:47,1,3.31,0.1,0.331,25.1,50.0
2025-01-01 16:23:00,1,3.31,0.1,0.33,25.0,50.0
2025-01-01 16:23:13,1,3.31,0.101,0.333,25.0,50.0
2025-01-01 16:23:21,1,3.29,0.099,0.327,25.1,50.0
2025-01-01 16:23:28,1,3.3,0.102,0.335,25.0,50.0
2025-01-01 16:23:36,1,3.29,0.1,0.329,25.2,50.0
2025-01-01 16:23:44,1,3.3,0.098,0.324,25.0,50.0
