timestamp,time_seq,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c
2025-07-18T11:49:16.985081,1,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:18.051801,2,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:18.126685,2,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:19.418650,3,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:19.931900,4,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:20.038885,4,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:30.631694,5,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:30.696493,6,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:30.788500,7,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:30.788740,8,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:30.998610,9,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:30.999027,10,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.133667,10,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.231861,11,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.232733,12,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.318617,12,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.391735,13,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.391899,14,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.558631,14,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.746861,14,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.816837,15,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.902033,16,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.902447,17,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:31.971896,17,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.076746,18,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.077199,19,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.214592,20,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.214966,21,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.531790,22,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.532207,23,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.596831,23,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.693759,23,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.763637,24,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.851701,25,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:32.852098,26,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.072074,26,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.144864,27,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.145520,28,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.207101,28,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.304522,29,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.304690,30,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.366391,30,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.449550,30,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.516671,31,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.629714,32,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.630120,33,160.5,250.8,180.2,4.85,4.92,4.78
2025-07-18T11:49:33.704579,33,160.5,250.8,180.2,4.85,4.92,4.78
