timestamp,time_seq,voltage,current,power,temperature,frequency
2025-07-03T19:04:09.894738,849,3.329,0.099,0.32957100000000006,25.0,50.0
2025-07-03T19:04:09.894843,850,3.325,0.098,0.32585000000000003,25.0,50.0
2025-07-03T19:04:09.894903,851,3.338,0.097,0.323786,25.0,50.0
2025-07-03T19:04:09.894958,852,3.335,0.097,0.32349500000000003,25.0,50.0
2025-07-03T19:04:09.895015,853,3.334,0.095,0.31673,25.0,50.0
2025-07-03T19:04:09.895075,854,3.323,0.095,0.315685,25.0,50.0
2025-07-03T19:04:09.895123,855,3.309,0.093,0.30773700000000004,25.0,50.0
2025-07-03T19:04:09.895170,856,3.322,0.094,0.312268,25.0,50.0
2025-07-03T19:04:09.895216,857,3.319,0.094,0.311986,25.0,50.0
2025-07-03T19:04:09.895263,858,3.318,0.092,0.305256,25.0,50.0
2025-07-03T19:04:09.895309,859,3.305,0.091,0.300755,25.0,50.0
2025-07-03T19:04:10.809088,859,3.294,0.092,0.303048,25.0,50.0
2025-07-03T19:04:10.809380,860,3.301,0.092,0.303692,25.0,50.0
2025-07-03T19:04:10.809461,861,3.295,0.092,0.30313999999999997,25.0,50.0
2025-07-03T19:04:10.809517,862,3.303,0.09,0.29727,25.0,50.0
2025-07-03T19:04:10.809557,863,3.3,0.09,0.297,25.0,50.0
2025-07-03T19:04:10.809613,864,3.286,0.09,0.29574,25.0,50.0
2025-07-03T19:04:10.809645,865,3.282,0.091,0.298662,25.0,50.0
2025-07-03T19:04:10.809681,866,3.273,0.09,0.29457,25.0,50.0
2025-07-03T19:04:10.809713,867,3.288,0.09,0.29591999999999996,25.0,50.0
2025-07-03T19:04:10.809743,868,3.272,0.089,0.29120799999999997,25.0,50.0
2025-07-03T19:04:11.298898,860,3.294,0.092,0.303048,25.0,50.0
2025-07-03T19:04:11.299060,861,3.301,0.092,0.303692,25.0,50.0
2025-07-03T19:04:11.299133,862,3.295,0.092,0.30313999999999997,25.0,50.0
